"Card ID","Title","Epic","Component","Owner","Sprint","Status","Points","Depends On","REQ IDs","Acceptance Criteria"
"T-205","Auth/JWT test suite green","E1 Auth & Security","Backend","M4","Sprint 1","Ready","3","-","REQ-02; REQ-03","Register hashes password; duplicate email rejected; login returns JWT for valid and rejects invalid; protected endpoint rejects missing/invalid token; tests pass in CI"
"T-204","Ownership guards + cross-user access tests","E1 Auth & Security","Backend","M4","Sprint 1","Done","3","T-205","NFR-01","Accessing another user record returns 403 or 404; ownership tests pass for every user-owned API"
"T-301t","Wellness CRUD API tests (owned-only)","E2 Wellness CRUD","Backend","M5","Sprint 1","Backlog","3","T-205","REQ-04; REQ-05; REQ-06; REQ-07; REQ-09","Create, list, update, delete tested; list and mutations restricted to owning user; tests pass"
"T-303","Android wellness CRUD screens","E2 Wellness CRUD","Android","M2","Sprint 1","Backlog","8","T-301t","REQ-04; REQ-05; REQ-06; REQ-07; NFR-04","List, add/edit form with validation, delete confirm; loading/empty/success/error states; CRUD works on device end-to-end"
"T-302","Android auth polish (logout + expired-token redirect)","E1 Auth & Security","Android","M1","Sprint 1","Ready","3","-","REQ-02; NFR-04","Logout clears stored token; expired/missing token returns user to login; verified on device"
"T-403","Verify Python RAG indexing + retrieval","E3 RAG Chatbot","Python AI","M6","Sprint 1","Ready","3","-","REQ-11; REQ-12","KB chunks with metadata; Chroma index builds; Ollama embeddings return; retrieval smoke test passes"
"T-601a","Docker smoke (mysql + spring persistence)","E5 DevOps/Docker/CI","DevOps","M7","Sprint 1","Ready","2","-","REQ-14","mysql + spring-backend start healthy; a created record persists across container restart"
"T-404","Backend chat orchestration + tests","E3 RAG Chatbot","Backend","M5","Sprint 2","Backlog","3","T-301t","REQ-10; REQ-11","Validates non-empty question; calls AI service; saves message + sources; AI timeout returns controlled error"
"T-405","Android chatbot screen + history","E3 RAG Chatbot","Android","M3","Sprint 2","Backlog","5","T-404","REQ-10; NFR-04","Send question; show answer with source chips; AI-waiting and error states; history visible; works from app"
"T-502","Agent deterministic trend-rule tests","E4 Agentic AI","Python AI","M7","Sprint 2","Backlog","3","-","REQ-13","Sparse to tracking focus; low sleep to sleep focus; low exercise to activity focus; low mood to stress focus; rule tests pass"
"T-503","RAG-assisted recommendation generation saved via backend","E4 Agentic AI","Python AI","M7","Sprint 2","Backlog","3","T-403; T-502","REQ-13","Agent retrieves records, analyses trends, generates with Ollama, saves recommendation through backend internal API"
"T-504","Android recommendations screen","E4 Agentic AI","Android","M3","Sprint 2","Backlog","5","T-503","REQ-13; NFR-04","Generate button; trend summary + 3 action items; list newest-first; recommendation visible in app"
"T-601b","Full-stack Docker smoke","E5 DevOps/Docker/CI","DevOps","M7","Sprint 2","Backlog","3","T-601a","REQ-14; NFR-03","mysql + spring + python + ollama reachable; required Ollama models present; all health checks green"
"T-602","CI green (build + test all components)","E5 DevOps/Docker/CI","DevOps","M7","Sprint 2","Backlog","3","T-601b","REQ-16; NFR-05","GitHub Actions build and test Android/Spring/Python; heavyweight LLM mocked; Actions pass on PR"
"T-603","Repeatable seed data + 15-min demo script","E6 Demo/Submission","Demo","M7 + all","Sprint 2","Backlog","3","T-303; T-405; T-504","REQ-17; REQ-20","Idempotent reseed (no duplicate demo user); demo data supports CRUD/chat/agent; rehearsal fits 15 minutes"
"T-604","Author comments + submission zip","E6 Demo/Submission","Demo","all","Hardening","Backlog","3","T-603","REQ-18; REQ-19","@author comments on classes/key methods; README/setup present; .env.example present and real .env excluded; TeamX.zip built"
"T-605","Full rehearsal + record video","E6 Demo/Submission","Demo","all","Hardening","Backlog","3","T-604","REQ-17","Clean-machine run of full flow; video recorded under 15 minutes"
"T-606","Peer-evaluation submission","E6 Demo/Submission","Demo","all","Hardening","Backlog","1","-","Peer eval","Each member submits peer evaluation (5 marks)"
"S-01","Proactive recommendations: scheduler + notifications","E7 Stretch","Backend + Android","M7 + M1","Stretch","Backlog","5","T-504","Timely","Spring @EnableScheduling + @Scheduled agent run; Android local notification via WorkManager polling for new recommendation"
"S-02","Wellness trends dashboard","E7 Stretch","Android","M2","Stretch","Backlog","5","T-303","Comprehensive","Dashboard with sleep/exercise/mood summary tiles or simple charts over recent records"
"S-03","Privacy screen + data export/delete","E7 Stretch","Backend + Android","M4 + M1","Stretch","Backlog","3","T-303","Private; Standout","In-app local-AI privacy statement; delete-account and export-data endpoints wired to UI"
"S-04","Security hardening","E7 Stretch","Backend","M4","Stretch","Backlog","3","T-205","Secure","Login throttling/lockout; token-expiry UX; cleartext disabled for non-demo builds"
"S-05","Standout framing in demo","E7 Stretch","Demo","all","Stretch","Backlog","1","-","Standout","Demo intro frames local-AI + agentic combo; one-screen how-it-works explainer"
